Year,Countries,Values
1992,Poland,940.653
1993,Poland,857.2082
1994,Poland,902.3799
1995,Poland,882.355
1996,Poland,852.0007
1997,Poland,893.6651
1998,Poland,846.6236
1999,Poland,913.6988
2000,Poland,921.3108
2001,Poland,837.4424
2002,Poland,915.4746
2003,Poland,951.0322
2004,Poland,889.2662
2005,Poland,936.3193
2006,Poland,919.5242
2007,Poland,889.8691
2008,Poland,850.1901
2009,Poland,895.7407
2010,Poland,878.33
2011,Poland,963.4066
2012,Poland,907.0466
2013,Poland,800.25
2014,Poland,916.6673
2015,Poland,950.6107
1986,Portugal,1829.5624
1987,Portugal,1738.2238
1988,Portugal,1776.5216
1989,Portugal,1778.4245
1990,Portugal,1816.0537
1991,Portugal,1855.8332
1992,Portugal,1908.9523
1993,Portugal,1792.047
1994,Portugal,1822.6985
1995,Portugal,1820.9268
1996,Portugal,1788.7096
1997,Portugal,1778.6334
1998,Portugal,1878.3209
1999,Portugal,1861.671
2000,Portugal,1813.8925
2001,Portugal,1791.6532
2002,Portugal,1765.6973
2003,Portugal,1782.7613
2004,Portugal,1886.6364
2005,Portugal,1930.0673
2006,Portugal,1813.2628
2007,Portugal,1915.7604
2008,Portugal,1824.2161
2009,Portugal,1837.3736
2010,Portugal,1777.5228
2011,Portugal,1873.7237
2012,Portugal,1883.3331
2013,Portugal,1797.0645
2014,Portugal,1748.5588
2015,Portugal,1861.8878
1986,Romania,1251.4752
1987,Romania,1183.1857
1988,Romania,1210.1407
1989,Romania,1245.7961
1990,Romania,1279.6328
1991,Romania,1184.0501
1992,Romania,1283.8953
1993,Romania,1223.6644000000001
1994,Romania,1248.809
1995,Romania,1187.9762
1996,Romania,1138.4709
1997,Romania,1209.6694
1998,Romania,1197.3593
1999,Romania,1216.1372
2000,Romania,1312.2799
2001,Romania,1219.7011
2002,Romania,1208.4893
2003,Romania,1236.0865
2004,Romania,1223.8403
2005,Romania,1186.7526
2006,Romania,1206.2851
2007,Romania,1270.2078
2008,Romania,1235.0262
2009,Romania,1231.2975
2010,Romania,1165.436
2011,Romania,1288.7909
2012,Romania,1287.7949
2013,Romania,1192.5879
2014,Romania,1171.4002
2015,Romania,1248.215
1986,Serbia,1286.034
1987,Serbia,1223.4078
1988,Serbia,1248.4899
1989,Serbia,1282.5127
1990,Serbia,1319.9511
1991,Serbia,1229.0212
1992,Serbia,1345.6462
1993,Serbia,1272.9129
1994,Serbia,1281.5261
1995,Serbia,1224.4415
1996,Serbia,1159.9864
1997,Serbia,1257.6585
1998,Serbia,1249.8484
1999,Serbia,1227.4981
2000,Serbia,1383.6023
2001,Serbia,1240.8887
2002,Serbia,1243.2769
2003,Serbia,1303.323
2004,Serbia,1255.1194
2005,Serbia,1205.0381
2006,Serbia,1232.9482
2007,Serbia,1319.159
2008,Serbia,1278.2849
2009,Serbia,1250.6968
2010,Serbia,1186.2971
2011,Serbia,1345.9224
2012,Serbia,1357.9091
2013,Serbia,1218.5554
2014,Serbia,1182.9506
2015,Serbia,1290.8625
1986,Slovenia,1032.64
1987,Slovenia,1004.7734
1988,Slovenia,992.1376
1989,Slovenia,1061.8217
1990,Slovenia,1071.378
1991,Slovenia,1042.5536
1992,Slovenia,1084.496
1993,Slovenia,1027.309
1994,Slovenia,1041.634
1995,Slovenia,982.5112
1996,Slovenia,916.2909
1997,Slovenia,1087.0859
1998,Slovenia,1068.4105
1999,Slovenia,979.5527
2000,Slovenia,1097.7067
2001,Slovenia,1018.4403
2002,Slovenia,998.1296
2003,Slovenia,1129.9248
2004,Slovenia,973.4484
2005,Slovenia,1012.5901
2006,Slovenia,1014.3173
2007,Slovenia,1079.9394
2008,Slovenia,981.6221
2009,Slovenia,1027.6793
2010,Slovenia,915.1227
2011,Slovenia,1140.5658
2012,Slovenia,1097.2327
2013,Slovenia,918.1199
2014,Slovenia,916.0722
2015,Slovenia,1073.1976
1986,Slovakia,1197.8171
1987,Slovakia,1102.9135
1988,Slovakia,1134.2696
1989,Slovakia,1130.7246
1990,Slovakia,1134.6749
1991,Slovakia,1118.4602
1992,Slovakia,1208.0165
1993,Slovakia,1141.2035
1994,Slovakia,1132.2438
1995,Slovakia,1089.6474
1996,Slovakia,1070.4964
1997,Slovakia,1163.5274
1998,Slovakia,1108.6366
1999,Slovakia,1094.9311
2000,Slovakia,1154.102
2001,Slovakia,1093.0404
2002,Slovakia,1107.9397
2003,Slovakia,1237.5546
2004,Slovakia,1088.9307000000001
2005,Slovakia,1129.3755
2006,Slovakia,1126.6788
2007,Slovakia,1162.4197
2008,Slovakia,1099.0718
2009,Slovakia,1111.9012
2010,Slovakia,1077.1133
2011,Slovakia,1219.7229
2012,Slovakia,1181.5211
2013,Slovakia,1051.0051
2014,Slovakia,1101.4011
2015,Slovakia,1149.3643
1986,Sweden,662.0829
1987,Sweden,627.3965
1988,Sweden,642.5782
1989,Sweden,662.9172
1990,Sweden,647.0697
1991,Sweden,638.8011
1992,Sweden,684.2698
1993,Sweden,648.8049
1994,Sweden,699.6449
1995,Sweden,648.7456
1996,Sweden,657.0608
1997,Sweden,720.8692
1998,Sweden,574.887
1999,Sweden,649.7466000000001
2000,Sweden,639.9401
2001,Sweden,647.8962
2002,Sweden,700.3626
2003,Sweden,691.7585
2004,Sweden,667.6549
2005,Sweden,668.5997
2006,Sweden,653.8485
2007,Sweden,642.58
2008,Sweden,648.1836
2009,Sweden,665.3394
2010,Sweden,651.3289
2011,Sweden,680.7569
2012,Sweden,624.5208
2013,Sweden,688.9605
2014,Sweden,664.5611
2015,Sweden,658.1154
1986,Kosovo,1385.0917
1987,Kosovo,1355.6723
1988,Kosovo,1391.9134
1989,Kosovo,1463.7273
1990,Kosovo,1454.3664
1991,Kosovo,1357.3215
1992,Kosovo,1463.3555
1993,Kosovo,1444.6877
1994,Kosovo,1419.0841
1995,Kosovo,1359.2427
1996,Kosovo,1272.6746
1997,Kosovo,1419.8569
1998,Kosovo,1409.6822
1999,Kosovo,1374.7788
2000,Kosovo,1501.963
2001,Kosovo,1394.2219
2002,Kosovo,1359.6631
2003,Kosovo,1407.3517
2004,Kosovo,1379.9267
2005,Kosovo,1371.2807
2006,Kosovo,1373.5144
2007,Kosovo,1424.6309
2008,Kosovo,1391.7342
2009,Kosovo,1348.6647
2010,Kosovo,1316.0036
2011,Kosovo,1463.8417
2012,Kosovo,1443.0919
2013,Kosovo,1364.9413
2014,Kosovo,1326.6678
2015,Kosovo,1432.261
1986,United Kingdom,803.6772
1987,United Kingdom,769.4488
1988,United Kingdom,789.7781
1989,United Kingdom,846.5492
1990,United Kingdom,839.7443
1991,United Kingdom,798.454
1992,United Kingdom,819.5223
1993,United Kingdom,763.6844
1994,United Kingdom,793.2618
1995,United Kingdom,868.8686
1996,United Kingdom,785.4118
1997,United Kingdom,814.7625
1998,United Kingdom,762.3262
1999,United Kingdom,825.0164
2000,United Kingdom,787.4542
2001,United Kingdom,816.9376
2002,United Kingdom,797.1683
2003,United Kingdom,895.3743
2004,United Kingdom,809.2785
2005,United Kingdom,794.4757
2006,United Kingdom,804.8587
2007,United Kingdom,829.3893
2008,United Kingdom,780.9498
2009,United Kingdom,819.7981
2010,United Kingdom,834.3082
2011,United Kingdom,839.1805
2012,United Kingdom,778.3607
2013,United Kingdom,766.0289
2014,United Kingdom,826.6055
2015,United Kingdom,830.4941
